Mass,C,H,O,N,C13,S,P,Error,NeutralMass,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect
217.0143744,0,0,0,0,0,0,0,0,218.0216508,NA,NA,NA,NA,NA,NA,216.7720542108286,0.2279457891714003
217.0298753,0,0,0,0,0,0,0,0,218.0371517,NA,NA,NA,NA,NA,NA,216.78753780238517,0.2124621976148262
217.0353973,8,10,7,0,0,0,0,-0.096589392,218.0426737,C8H10O7,0.875,1.25,0,0,NA,216.79305363647066,0.20694636352934026
217.0484515,0,0,0,0,0,0,0,0,218.055728,NA,NA,NA,NA,NA,NA,216.80609326003432,0.19390673996568353
217.071733,9,14,6,0,0,0,0,0.131844039,218.0790094,C9H14O6,0.6666666666666666,1.5555555555555556,0,0,NA,216.82934876370342,0.1706512362965782
217.0830697,8,14,5,2,0,0,0,-0.342071494,218.0903462,C8H14N2O5,0.625,1.75,0.25,0,NA,216.84067280504294,0.15932719495705783
217.1081585,10,18,5,0,0,0,0,-0.051535393,218.1154349,C10H18O5,0.5,1.8,0,0,NA,216.86573359066472,0.13426640933528233
217.119383,9,18,4,2,0,0,0,-0.010798534,218.1266594,C9H18N2O4,0.4444444444444444,2,0.2222222222222222,0,NA,216.87694555728774,0.12305444271225952
218.8947766,0,0,0,0,0,0,0,0,219.9020531,NA,NA,NA,NA,NA,NA,218.65035673693333,0.3496432630666675
219.0222154,0,0,0,0,0,0,0,0,220.0294918,NA,NA,NA,NA,NA,NA,218.77765323763077,0.22234676236922724
219.02992,11,8,5,0,0,0,0,-0.105144386,220.0371965,C11H8O5,0.45454545454545453,0.7272727272727273,0,0,NA,218.7853492346056,0.21465076539439565
219.0510309,8,12,7,0,0,0,0,-0.020838631,220.0583073,C8H12O7,0.875,1.5,0,0,NA,218.80643656198606,0.19356343801393905
219.0873937,9,16,6,0,0,0,0,0.082161418,220.0946702,C9H16O6,0.6666666666666666,1.7777777777777777,0,0,NA,218.84275875895872,0.15724124104127668
219.5383992,0,0,0,0,0,0,0,0,220.5456756,NA,NA,NA,NA,NA,NA,219.29326066218832,0.7067393378116833
219.5431415,0,0,0,0,0,0,0,0,220.5504179,NA,NA,NA,NA,NA,NA,219.29799766689376,0.7020023331062362
219.5479002,0,0,0,0,0,0,0,0,220.5551767,NA,NA,NA,NA,NA,NA,219.30275105328684,0.6972489467131595
219.548034,0,0,0,0,0,0,0,0,220.5553105,NA,NA,NA,NA,NA,NA,219.3028847038846,0.6971152961154132
219.5527304,0,0,0,0,0,0,0,0,220.5600068,NA,NA,NA,NA,NA,NA,219.3075758598424,0.6924241401576126
220.0251387,10,7,5,1,0,0,0,0.03271912,221.0324151,C10H7NO5,0.5,0.7,0.1,0,NA,219.77945666451433,0.2205433354856723
220.0826657,8,15,6,1,0,0,0,-0.02229898,221.0899421,C8H15NO6,0.75,1.875,0.125,0,NA,219.83691942935218,0.16308057064782133
220.0952146,0,0,0,0,0,0,0,0,221.1024911,NA,NA,NA,NA,NA,NA,219.8494543171383,0.15054568286169
221.0091479,10,6,6,0,0,0,0,0.06121118,222.0164243,C10H6O6,0.6,0.6,0,0,NA,220.76236711105085,0.23763288894915036
221.0122861,0,0,0,0,0,0,0,0,222.0195626,NA,NA,NA,NA,NA,NA,220.7655018069087,0.23449819309129794
221.0196759,0,0,0,0,0,0,0,0,222.0269524,NA,NA,NA,NA,NA,NA,220.772883355392,0.22711664460800307
221.0204406,9,6,5,2,0,0,0,-0.206067505,222.0277171,C9H6N2O5,0.5555555555555556,0.6666666666666666,0.2222222222222222,0,NA,220.77364720152116,0.2263527984788425
